x,y,z,samples
-11.504,12.825,7.968,665476
-11.494,12.827,7.963,665477
11.965,-0.141,13.577,718982
3.819,-0.803,7.892,718983
-8.393,11.763,-4.399,765286
8.429,-5.758,20.464,765288
14.827,-3.383,17.976,765291
15.03,-3.372,17.987,765300
15.025,-3.371,17.984,765302
-9.475,0.745,3.155,774014
-9.481,0.755,3.209,774015
-9.472,0.759,3.195,774017
-9.502,0.726,3.145,774018
-9.437,0.778,3.232,774019
-9.009,2.754,7.143,774020
-9.492,0.753,3.194,774021
-9.443,0.733,3.213,774022
-9.456,0.744,3.221,774023
-9.47,0.758,3.176,774033
-9.479,0.742,3.154,774034
-9.483,0.749,3.183,774035
-9.469,0.73,3.168,774036
-9.476,0.747,3.193,774037
5.619,-7.104,-12.974,782668
5.642,-7.106,-13.001,782669
-4.514,19.602,4.896,794857
-4.548,19.588,4.863,794858
-4.695,19.559,4.735,794859
-4.587,19.584,4.822,794860
13.58,-2.081,-18.825,797705
13.565,-2.079,-18.827,797706
13.574,-2.081,-18.826,797707
13.52,-2.077,-18.842,797708
-16.327,1.096,-13.195,800364
-16.402,1.064,-13.301,800365
-16.345,1.087,-13.219,800366
-16.411,1.061,-13.314,800367
-16.294,1.114,-13.126,800368
-16.294,1.113,-13.128,800369
-16.289,1.116,-13.119,800370
-16.302,1.11,-13.141,800371
-16.301,1.109,-13.142,800372
-16.312,1.104,-13.159,800373
1.539,-6.585,-14.088,814832
1.527,-6.639,-14.059,814833
1.518,-6.813,-14.144,814834
1.528,-6.919,-14.35,814835
1.593,-7.574,-14.812,814836
1.574,-6.308,-14.192,814837
1.5,-6.328,-14.216,814838
1.559,-6.389,-14.399,814839
1.565,-6.522,-14.588,814840
1.622,-7.087,-15.038,814841
-1.406,-27.297,-10.274,814842
-1.383,-27.088,-10.48,814843
-1.349,-26.764,-10.798,814844
-1.339,-26.673,-10.878,814845
-1.324,-26.546,-10.97,814846
-0.49,14.534,4.605,828675
-0.465,14.528,4.584,828676
4.619,23.865,7.882,838740
4.582,23.903,7.846,838741
4.604,23.874,7.856,838742
-23.94,11.522,7.447,846186
-23.951,11.468,7.479,846187
-23.039,13.924,6.4,846188
-23.967,11.224,7.681,846189
6.515,-1.088,-26.484,850875
13.456,-1.452,-25.603,850876
-12.883,9.219,10.793,850906
-20.313,3.997,10.005,850907
-4.07,-3.65,11.755,850908
8.846,-9.738,-2.055,850909
-24.862,-0.836,8.378,850910
-9.019,20.414,-0.838,850911
0.834,4.067,8.221,850912
-11.13,5.707,-22.401,850913
3.146,-4.102,-23.402,850914
0.761,-7.378,-14.029,857324
0.768,-7.443,-13.99,857325
0.775,-7.454,-14.01,857326
0.791,-7.519,-14.07,857327
0.845,-7.62,-14.164,857328
0.859,-7.644,-14.214,857329
4.506,-8.05,-14.753,857330
4.519,-8.044,-14.741,857331
4.516,-8.067,-14.701,857332
4.509,-8.047,-14.735,857333
4.514,-8.045,-14.72,857334
4.486,-8.089,-14.688,857335
-23.787,5.436,13.726,866644
-23.805,5.415,13.719,866645
-23.803,5.435,13.712,866647
-23.781,5.445,13.722,866649
-22.839,7.519,12.967,866652
-23.798,5.425,13.72,866653
-23.798,5.421,13.717,866656
-23.799,5.477,13.688,866657
-24.013,8.461,11.381,866660
-22.997,8.41,12.858,866661
-23.006,8.426,12.851,866662
-22.999,8.418,12.856,866663
-22.877,8.378,10.732,866664
-22.93,8.295,12.847,866665
-22.928,8.29,12.871,866666
-23.997,8.451,11.384,866667
-23.986,8.433,11.446,866668
-23.992,8.466,11.382,866669
-23.942,8.465,11.275,866670
1.724,-2.891,16.744,869994
1.678,-2.816,16.732,869995
1.74,-2.85,16.739,869996
1.76,-2.757,16.695,869997
-13.122,10.193,10.812,871703
-13.13,10.179,10.826,871704
-13.134,10.169,10.845,871705
-13.12,10.164,10.837,871706
-13.129,10.188,10.822,871707
-13.121,10.19,10.794,871708
14.504,1.647,-3.741,871914
14.515,1.648,-3.742,871915
9.155,7.92,0.285,879225
9.162,7.858,0.279,879226
9.138,7.958,0.288,879227
9.154,7.926,0.284,879228
9.153,7.907,0.287,879229
9.143,7.939,0.289,879230
9.142,7.958,0.288,879231
9.151,7.945,0.274,879232
9.082,8.067,0.286,879233
9.125,7.988,0.289,879234
9.113,8.009,0.289,879235
9.149,7.94,0.284,879236
8.082,-3.333,19.958,886452
8.077,-3.304,19.94,886453
8.121,-3.456,19.983,886454
8.123,-3.453,19.973,886455
8.514,-4.32,19.968,886456
8.514,-4.314,19.969,886457
7.792,-2.979,20.034,886458
7.788,-2.97,20.025,886459
8.097,-3.531,19.996,886460
8.082,-3.44,19.991,886461
8.181,-3.412,19.923,886462
9.121,-4.089,17.883,886463
8.18,-3.647,19.999,886464
8.528,-4.365,19.873,886465
8.344,-3.785,19.908,886466
8.099,-3.442,19.986,886467
8.157,-3.597,19.939,886468
8.169,-3.563,19.948,886469
-0.358,13.827,11.081,886470
-0.347,13.832,11.083,886471
-2.569,11.121,9.308,886472
-0.087,13.608,10.735,886473
13.034,-10.211,-7.508,886474
12.959,-10.252,-7.511,886475
-0.052,13.67,10.749,886476
-0.062,13.668,10.755,886477
9.199,-1.976,4.75,886480
11.294,-6.569,16.59,903662
17.332,-0.221,13.708,903663
18.33,-5.112,2.258,904641
18.453,-5.107,2.071,904642
18.454,-5.037,2.026,904643
18.395,-4.993,2.081,904644
18.448,-5.012,2.055,904645
18.385,-4.961,2.072,904646
18.349,-5.082,2.312,904647
18.495,-5.303,2.134,904648
18.447,-5.135,2.047,904649
14.176,-1.29,1.301,904650
18.383,-4.889,2.093,904651
18.32,-4.998,2.213,904652
3.048,-18.657,16.954,904665
3.04,-18.656,16.96,904666
3.089,-18.665,16.953,904667
3.064,-18.66,16.955,904668
3.029,-18.654,16.958,904669
3.109,-18.669,16.952,904670
8.014,-7.874,17.633,905088
8.023,-7.783,17.619,905089
4.056,-10.425,-10.634,914120
4.059,-10.421,-10.628,914121
4.047,-10.409,-10.633,914122
4.048,-10.413,-10.63,914123
4.053,-10.413,-10.636,914124
4.055,-10.409,-10.628,914125
-9.011,3.697,8.117,924996
-9.079,3.522,7.962,924997
-9.031,3.92,7.764,924998
-8.956,3.956,7.674,924999
-8.876,4.091,7.611,925000
-8.954,3.978,7.696,925001
-8.949,3.98,7.689,925002
-8.975,3.926,7.675,925003
